timestamp,load_power_kw
2026-02-05 00:00:00,52.2
2026-02-05 01:00:00,46.1
2026-02-05 02:00:00,42.1
2026-02-05 03:00:00,40.1
2026-02-05 04:00:00,42.3
2026-02-05 05:00:00,52.5
2026-02-05 06:00:00,73.9
2026-02-05 07:00:00,97.4
2026-02-05 08:00:00,110.6
2026-02-05 09:00:00,104.3
2026-02-05 10:00:00,98.8
2026-02-05 11:00:00,104.0
2026-02-05 12:00:00,109.0
2026-02-05 13:00:00,102.3
2026-02-05 14:00:00,96.6
2026-02-05 15:00:00,100.1
2026-02-05 16:00:00,110.3
2026-02-05 17:00:00,128.2
2026-02-05 18:00:00,149.0
2026-02-05 19:00:00,154.9
2026-02-05 20:00:00,139.8
2026-02-05 21:00:00,114.0
2026-02-05 22:00:00,84.7
2026-02-05 23:00:00,62.8
