timestamp,load_measured_kw
2026-03-12 00:00:00,17.37
2026-03-12 00:01:00,19.69
2026-03-12 00:02:00,19.62
2026-03-12 00:03:00,20.15
2026-03-12 00:04:00,19.93
2026-03-12 00:05:00,21.73
2026-03-12 00:06:00,22.10
2026-03-12 00:07:00,19.95
2026-03-12 00:08:00,19.15
2026-03-12 00:09:00,18.74
2026-03-12 00:10:00,18.69
2026-03-12 00:11:00,18.91
2026-03-12 00:12:00,19.34
2026-03-12 00:13:00,18.94
2026-03-12 00:14:00,18.83
2026-03-12 00:15:00,18.70
2026-03-12 00:16:00,18.32
2026-03-12 00:17:00,19.76
2026-03-12 00:18:00,19.72
2026-03-12 00:19:00,19.90
2026-03-12 00:20:00,20.38
2026-03-12 00:21:00,19.53
2026-03-12 00:22:00,21.06
2026-03-12 00:23:00,20.74
2026-03-12 00:24:00,21.76
2026-03-12 00:25:00,21.17
2026-03-12 00:26:00,21.87
2026-03-12 00:27:00,21.61
2026-03-12 00:28:00,20.49
2026-03-12 00:29:00,19.64
2026-03-12 00:30:00,17.87
2026-03-12 00:31:00,18.81
2026-03-12 00:32:00,17.58
2026-03-12 00:33:00,15.92
2026-03-12 00:34:00,17.49
2026-03-12 00:35:00,17.17
2026-03-12 00:36:00,17.85
2026-03-12 00:37:00,17.81
2026-03-12 00:38:00,16.21
2026-03-12 00:39:00,16.29
2026-03-12 00:40:00,17.65
2026-03-12 00:41:00,17.17
2026-03-12 00:42:00,15.15
2026-03-12 00:43:00,16.45
2026-03-12 00:44:00,16.30
2026-03-12 00:45:00,16.60
2026-03-12 00:46:00,15.96
2026-03-12 00:47:00,16.50
2026-03-12 00:48:00,15.58
2026-03-12 00:49:00,14.23
2026-03-12 00:50:00,15.66
2026-03-12 00:51:00,16.25
2026-03-12 00:52:00,18.10
2026-03-12 00:53:00,16.89
2026-03-12 00:54:00,17.25
2026-03-12 00:55:00,16.27
2026-03-12 00:56:00,18.53
2026-03-12 00:57:00,17.83
2026-03-12 00:58:00,18.40
2026-03-12 00:59:00,17.06
2026-03-12 01:00:00,16.79
2026-03-12 01:01:00,16.47
2026-03-12 01:02:00,16.83
2026-03-12 01:03:00,17.00
2026-03-12 01:04:00,18.34
2026-03-12 01:05:00,18.68
2026-03-12 01:06:00,19.90
2026-03-12 01:07:00,19.09
2026-03-12 01:08:00,19.33
2026-03-12 01:09:00,17.30
2026-03-12 01:10:00,18.17
2026-03-12 01:11:00,17.79
2026-03-12 01:12:00,15.26
2026-03-12 01:13:00,15.62
2026-03-12 01:14:00,15.07
2026-03-12 01:15:00,16.91
2026-03-12 01:16:00,16.45
2026-03-12 01:17:00,16.93
2026-03-12 01:18:00,17.31
2026-03-12 01:19:00,18.33
2026-03-12 01:20:00,20.44
2026-03-12 01:21:00,20.43
2026-03-12 01:22:00,19.51
2026-03-12 01:23:00,19.86
2026-03-12 01:24:00,19.55
2026-03-12 01:25:00,19.13
2026-03-12 01:26:00,18.98
2026-03-12 01:27:00,17.55
2026-03-12 01:28:00,18.46
2026-03-12 01:29:00,18.89
2026-03-12 01:30:00,18.98
2026-03-12 01:31:00,18.72
2026-03-12 01:32:00,18.37
2026-03-12 01:33:00,18.89
2026-03-12 01:34:00,18.05
2026-03-12 01:35:00,17.53
2026-03-12 01:36:00,18.09
2026-03-12 01:37:00,17.12
2026-03-12 01:38:00,17.66
2026-03-12 01:39:00,17.42
2026-03-12 01:40:00,17.41
2026-03-12 01:41:00,17.62
2026-03-12 01:42:00,18.23
2026-03-12 01:43:00,18.26
2026-03-12 01:44:00,16.91
2026-03-12 01:45:00,16.20
2026-03-12 01:46:00,16.20
2026-03-12 01:47:00,15.52
2026-03-12 01:48:00,14.00
2026-03-12 01:49:00,14.00
2026-03-12 01:50:00,14.00
2026-03-12 01:51:00,14.00
