timestamp,load_power_kw
2026-03-12 00:00:00,10.2
2026-03-12 01:00:00,7.9
2026-03-12 02:00:00,6.1
2026-03-12 03:00:00,6.0
2026-03-12 04:00:00,8.1
2026-03-12 05:00:00,15.6
2026-03-12 06:00:00,33.7
2026-03-12 07:00:00,51.4
2026-03-12 08:00:00,59.3
2026-03-12 09:00:00,55.0
2026-03-12 10:00:00,48.7
2026-03-12 11:00:00,52.6
2026-03-12 12:00:00,65.4
2026-03-12 13:00:00,71.3
2026-03-12 14:00:00,65.9
2026-03-12 15:00:00,58.7
2026-03-12 16:00:00,62.5
2026-03-12 17:00:00,78.2
2026-03-12 18:00:00,94.4
2026-03-12 19:00:00,87.4
2026-03-12 20:00:00,64.6
2026-03-12 21:00:00,44.3
2026-03-12 22:00:00,28.3
2026-03-12 23:00:00,16.4
