timestamp,load_power_kw
2026-03-12 00:00:00,21.8
2026-03-12 01:00:00,20.1
2026-03-12 02:00:00,19.0
2026-03-12 03:00:00,19.0
2026-03-12 04:00:00,20.2
2026-03-12 05:00:00,26.1
2026-03-12 06:00:00,41.1
2026-03-12 07:00:00,73.5
2026-03-12 08:00:00,102.5
2026-03-12 09:00:00,112.1
2026-03-12 10:00:00,115.7
2026-03-12 11:00:00,110.9
2026-03-12 12:00:00,96.1
2026-03-12 13:00:00,103.6
2026-03-12 14:00:00,113.5
2026-03-12 15:00:00,115.6
2026-03-12 16:00:00,107.6
2026-03-12 17:00:00,87.4
2026-03-12 18:00:00,57.0
2026-03-12 19:00:00,36.8
2026-03-12 20:00:00,29.1
2026-03-12 21:00:00,26.0
2026-03-12 22:00:00,24.0
2026-03-12 23:00:00,22.2
