timestamp,load_power_kw
2026-03-12 00:00:00,31.9
2026-03-12 01:00:00,30.1
2026-03-12 02:00:00,30.0
2026-03-12 03:00:00,29.9
2026-03-12 04:00:00,31.2
2026-03-12 05:00:00,46.6
2026-03-12 06:00:00,96.1
2026-03-12 07:00:00,130.3
2026-03-12 08:00:00,138.1
2026-03-12 09:00:00,140.2
2026-03-12 10:00:00,141.5
2026-03-12 11:00:00,133.2
2026-03-12 12:00:00,118.4
2026-03-12 13:00:00,129.3
2026-03-12 14:00:00,139.3
2026-03-12 15:00:00,137.9
2026-03-12 16:00:00,132.1
2026-03-12 17:00:00,126.1
2026-03-12 18:00:00,117.1
2026-03-12 19:00:00,94.2
2026-03-12 20:00:00,71.4
2026-03-12 21:00:00,60.9
2026-03-12 22:00:00,43.0
2026-03-12 23:00:00,34.3
