timestamp,load_power_kw
2026-03-12 00:00:00,40.0
2026-03-12 01:00:00,38.1
2026-03-12 02:00:00,37.0
2026-03-12 03:00:00,37.0
2026-03-12 04:00:00,38.3
2026-03-12 05:00:00,46.4
2026-03-12 06:00:00,64.2
2026-03-12 07:00:00,90.2
2026-03-12 08:00:00,118.6
2026-03-12 09:00:00,131.8
2026-03-12 10:00:00,137.9
2026-03-12 11:00:00,139.5
2026-03-12 12:00:00,134.0
2026-03-12 13:00:00,128.7
2026-03-12 14:00:00,132.0
2026-03-12 15:00:00,135.3
2026-03-12 16:00:00,127.7
2026-03-12 17:00:00,109.8
2026-03-12 18:00:00,86.6
2026-03-12 19:00:00,68.5
2026-03-12 20:00:00,58.2
2026-03-12 21:00:00,52.0
2026-03-12 22:00:00,46.2
2026-03-12 23:00:00,42.1
