timestamp,price_eur_per_mwh,contract_limit_kw
2026-01-15 00:00:00,112.0,160.0
2026-01-15 01:00:00,104.0,160.0
2026-01-15 02:00:00,98.0,160.0
2026-01-15 03:00:00,96.0,160.0
2026-01-15 04:00:00,102.0,160.0
2026-01-15 05:00:00,128.0,160.0
2026-01-15 06:00:00,186.0,160.0
2026-01-15 07:00:00,265.0,160.0
2026-01-15 08:00:00,310.0,160.0
2026-01-15 09:00:00,268.0,160.0
2026-01-15 10:00:00,214.0,160.0
2026-01-15 11:00:00,196.0,160.0
2026-01-15 12:00:00,188.0,160.0
2026-01-15 13:00:00,192.0,160.0
2026-01-15 14:00:00,206.0,160.0
2026-01-15 15:00:00,248.0,160.0
2026-01-15 16:00:00,352.0,160.0
2026-01-15 17:00:00,468.0,140.0
2026-01-15 18:00:00,520.0,140.0
2026-01-15 19:00:00,436.0,140.0
2026-01-15 20:00:00,318.0,160.0
2026-01-15 21:00:00,232.0,160.0
2026-01-15 22:00:00,168.0,160.0
2026-01-15 23:00:00,132.0,160.0
