timestamp,pv_power_kw
2026-06-21 00:00:00,0.0
2026-06-21 01:00:00,0.0
2026-06-21 02:00:00,0.0
2026-06-21 03:00:00,0.0
2026-06-21 04:00:00,0.0
2026-06-21 05:00:00,0.0
2026-06-21 06:00:00,1.0
2026-06-21 07:00:00,18.5
2026-06-21 08:00:00,64.4
2026-06-21 09:00:00,112.5
2026-06-21 10:00:00,152.9
2026-06-21 11:00:00,182.3
2026-06-21 12:00:00,199.4
2026-06-21 13:00:00,204.5
2026-06-21 14:00:00,199.0
2026-06-21 15:00:00,181.3
2026-06-21 16:00:00,155.4
2026-06-21 17:00:00,119.1
2026-06-21 18:00:00,76.0
2026-06-21 19:00:00,31.4
2026-06-21 20:00:00,3.2
2026-06-21 21:00:00,0.0
2026-06-21 22:00:00,0.0
2026-06-21 23:00:00,0.0
